,Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9
28982,in-silico,28983,11552,62336,4133,240,61138,12178,1140,11509,61016,10430
128508,in-silico,128509,11552,7749,7344,7762,12178,1140,11509,61016,10430,8030
101202,in-silico,101203,31265,7654,6054,6184,7150,240,7762,7731,22873,7770
28034,in-silico,28035,7460,6501,2758,31272,5281515,14286,24915,26331,7165,6654
5378,in-silico,5379,7749,454,440967,62444,7150,7966,8635,10430,957,7710
150654,in-silico,150655,62465,10882,8129,6184,12232,5281168,8051,8118,8892,10430
93486,in-silico,93487,12741,6501,5281515,12367,61138,5283349,7770,22201,8186,6654
153632,in-silico,153633,4133,12232,240,7344,15380,8148,8118,31252,22201,8030
186846,in-silico,186847,7714,1031,7150,7344,7888,22386,7731,12180,8025,8030
18774,in-silico,18775,8129,10722,31265,7749,6544,240,7762,8051,7770,8892
