,Dataset,Mixture Label,CID,CID.1,CID.2,CID.3,CID.4,CID.5,CID.6,CID.7,CID.8,CID.9
122702,in-silico,122703,8129,12741,31272,12367,6544,7888,443158,8025,7165,10430
111332,in-silico,111333,10722,2758,12232,240,7793,61138,7410,3314,8118,443158
62544,in-silico,62545,11552,7460,7654,6054,7150,93009,8148,15380,11002,8635
93110,in-silico,93111,11552,4133,7654,240,180,5283349,11002,8892,10430,7519
181054,in-silico,181055,62336,11552,31265,7749,1031,7762,5283349,8025,7770,7165
148812,in-silico,148813,1031,440967,6184,5281168,7344,12178,8051,11509,7991,10430
40074,in-silico,40075,11552,6561,18827,7150,5281168,22386,12020,12180,8635,8797
136540,in-silico,136541,10976,8129,5281515,12367,8051,31252,5283349,22201,8186,6654
155700,in-silico,155701,440967,31272,14286,7762,8051,12020,1140,22386,61016,26331
39620,in-silico,39621,11552,62465,31265,10882,7749,8103,6184,7762,5283349,7770
